"date","day_month","year","month","quarter","season","date-2","open_price","high_price","low_price","close_price","adj_close","volume","open_change","high_change","low_change","close_change","volume_change","gain_loss_open","gain_loss_high","gain_loss_low","gain_loss_close","gain_loss_volume"
"10/1/00","1-Oct","2000","10","Q4","Fall","10/1/00","0.910714","0.912946","0.845982","0.872768","0.750496","505064000","0.407366","0.395089","0.392857","0.412947","-6916576800","Gain","Gain","Gain","Gain","Loss"
"10/10/00","10-Oct","2000","10","Q4","Fall","10/10/00","0.386161","0.40067","0.366071","0.372768","0.320544","691101600","-0.470982","-0.464285","-0.479911","-0.476562","439387200","Loss","Loss","Loss","Loss","Gain"
"10/10/01","10-Oct","2001","10","Q4","Fall","10/10/01","0.2875","0.300893","0.284821","0.300357","0.258278","307759200","-0.016071","-0.011607","-0.017322","-0.009822","-1086400","Loss","Loss","Loss","Loss","Loss"
"10/10/02","10-Oct","2002","10","Q4","Fall","10/10/02","0.243393","0.253929","0.2425","0.251964","0.216665","321574400","-0.013928","-0.004821","-0.009643","-0.003929","72105600","Loss","Loss","Loss","Loss","Gain"
"10/10/03","10-Oct","2003","10","Q4","Fall","10/10/03","0.419643","0.425179","0.417321","0.422857","0.363616","174837600","0.022322","0.021429","0.0225","0.026786","-50052800","Gain","Gain","Gain","Gain","Loss"
"10/10/05","10-Oct","2005","10","Q4","Fall","10/10/05","1.848571","1.853929","1.795714","1.798929","1.546904","507505600","0.277142","0.268572","0.248928","0.249643","146560400","Gain","Gain","Gain","Gain","Gain"
"10/10/06","10-Oct","2006","10","Q4","Fall","10/10/06","2.662143","2.663571","2.61","2.636071","2.266765","531588400","0.403214","0.348928","0.370714","0.347857","-166171600","Gain","Gain","Gain","Gain","Loss"
"10/10/07","10-Oct","2007","10","Q4","Fall","10/10/07","5.983929","5.995714","5.914286","5.956786","5.122257","667590000","1.091429","1.065714","1.130357","1.074286","-820248800","Gain","Gain","Gain","Gain","Loss"
"10/10/08","10-Oct","2008","10","Q4","Fall","10/10/08","3.060714","3.571429","3.035714","3.457143","2.972807","2219299600","-2.379286","-1.963928","-2.278572","-1.9575","1246156800","Loss","Loss","Loss","Loss","Gain"
"10/1/01","1-Oct","2001","10","Q4","Fall","10/1/01","0.297991","0.303571","0.28683","0.295759","0.254324","580781600","0.017455","0.019464","0.012009","0.018795","215672800","Gain","Gain","Gain","Gain","Gain"
"10/10/11","10-Oct","2011","10","Q4","Fall","10/10/11","13.538929","13.886071","13.5075","13.886071","11.940673","442514800","0.283572","0.505714","0.561071","0.897142","-436142000","Gain","Gain","Gain","Gain","Loss"
"10/10/12","10-Oct","2012","10","Q4","Fall","10/10/12","22.847857","23.035","22.75","22.889643","19.76738","510356000","-1.453929","-1.368214","-0.896429","-0.779644","22358000","Loss","Loss","Loss","Loss","Gain"
"10/10/13","10-Oct","2013","10","Q4","Fall","10/10/13","17.547144","17.584999","17.394285","17.487143","15.461615","278602800","-0.531427","-0.538216","-0.087858","-0.178571","-464592800","Loss","Loss","Loss","Loss","Loss"
"10/10/14","10-Oct","2014","10","Q4","Fall","10/10/14","25.172501","25.5075","25.075001","25.182501","22.768208","265326400","0.67","0.23","0.635","-0.067499","-138152000","Gain","Gain","Gain","Loss","Loss"
"10/10/16","10-Oct","2016","10","Q4","Fall","10/10/16","28.754999","29.1875","28.68","29.012501","27.249866","144944000","1.577499","1.9625","1.739999","2.012501","48910000","Gain","Gain","Gain","Gain","Gain"
"10/10/17","10-Oct","2017","10","Q4","Fall","10/10/17","39.014999","39.5","38.775002","38.974998","37.252819","62468000","-0.959999","-0.5","0.117501","0.144996","-100749200","Loss","Loss","Gain","Gain","Loss"
"10/10/18","10-Oct","2018","10","Q4","Fall","10/10/18","56.365002","56.587502","54.012501","54.09","52.481659","167962400","1.127503","1.125","-0.104999","-0.4925","9896400","Gain","Gain","Loss","Loss","Gain"
